source,target,weight
0,12,0.9
0,64,0.94
0,67,0.92
0,86,0.9
0,132,0.92
0,192,0.94
0,216,0.91
0,217,0.96
0,305,0.91
12,46,0.91
12,64,0.92
12,67,0.93
12,159,0.9
12,192,0.93
12,215,0.93
12,217,0.92
12,263,0.91
12,305,0.95
64,31,0.93
64,46,0.92
64,60,0.91
64,67,0.95
64,86,0.95
64,132,0.97
64,159,0.93
64,192,0.97
64,198,0.92
64,215,0.9
64,216,0.94
64,217,0.97
64,263,0.92
64,305,0.94
67,9,0.92
67,31,0.92
67,46,0.92
67,60,0.9
67,86,0.9
67,132,0.92
67,137,0.9
67,147,0.91
67,159,0.91
67,192,0.95
67,198,0.9
67,215,0.9
67,217,0.94
67,263,0.96
67,305,0.98
86,31,0.92
86,46,0.91
86,60,0.9
86,132,0.95
86,159,0.9
86,192,0.93
86,198,0.92
86,217,0.93
86,305,0.91
132,9,0.93
132,31,0.94
132,46,0.9
132,60,0.95
132,192,0.95
132,198,0.94
132,216,0.9
132,217,0.94
132,263,0.9
132,305,0.92
192,9,0.92
192,31,0.9
192,60,0.9
192,159,0.9
192,216,0.9
192,217,0.96
192,263,0.91
192,305,0.93
216,217,0.91
216,248,0.95
217,9,0.9
217,31,0.93
217,159,0.9
217,263,0.91
217,305,0.93
305,9,0.9
305,31,0.93
305,46,0.96
305,137,0.91
305,147,0.91
305,159,0.92
305,215,0.92
305,263,0.95
305,300,0.9
2,14,0.92
2,18,0.94
2,71,0.93
2,110,0.9
2,160,0.93
2,187,0.9
2,221,0.9
2,251,0.91
2,255,0.9
2,256,0.9
2,270,0.93
14,18,0.9
14,63,0.91
14,71,0.94
14,110,0.92
14,130,0.94
14,155,0.9
14,187,0.93
14,197,0.93
14,221,0.95
14,251,0.9
14,256,0.93
14,270,0.9
14,286,0.94
14,287,0.94
14,306,0.91
18,63,0.92
18,71,0.93
18,126,0.9
18,130,0.93
18,155,0.9
18,160,0.9
18,190,0.93
18,191,0.9
18,195,0.91
18,256,0.9
18,270,0.92
18,275,0.9
18,286,0.9
18,287,0.9
18,306,0.93
71,56,0.94
71,130,0.93
71,155,0.92
71,160,0.92
71,190,0.9
71,203,0.91
71,221,0.91
71,256,0.94
71,270,0.95
71,275,0.9
71,286,0.92
71,306,0.95
71,313,0.92
110,187,0.92
110,197,0.9
110,221,0.92
110,251,0.93
110,256,0.9
110,286,0.92
160,22,0.95
160,32,0.94
160,33,0.94
160,34,0.91
160,41,0.93
160,56,0.92
160,90,0.92
160,109,0.91
160,115,0.93
160,155,0.92
160,193,0.94
160,195,0.94
160,203,0.95
160,252,0.93
160,255,0.94
160,256,0.91
160,270,0.96
160,275,0.91
160,289,0.94
160,302,0.93
160,304,0.94
160,313,0.91
187,63,0.91
187,89,0.91
187,103,0.9
187,130,0.94
187,163,0.91
187,194,0.92
187,197,0.97
187,200,0.92
187,221,0.98
187,249,0.94
187,251,0.9
187,265,0.9
187,274,0.9
187,286,0.96
187,287,0.96
187,297,0.96
187,310,0.95
221,63,0.9
221,89,0.91
221,103,0.9
221,130,0.95
221,163,0.9
221,194,0.91
221,197,0.98
221,200,0.9
221,249,0.95
221,251,0.9
221,274,0.91
221,286,0.97
221,287,0.96
221,297,0.94
221,310,0.95
251,63,0.9
251,103,0.92
251,214,0.92
251,286,0.9
251,287,0.9
251,297,0.9
255,22,0.93
255,32,0.96
255,33,0.91
255,35,0.9
255,39,0.95
255,90,0.91
255,126,0.9
255,155,0.94
255,166,0.92
255,191,0.93
255,193,0.9
255,195,0.97
255,202,0.92
255,212,0.91
255,225,0.91
255,244,0.92
255,270,0.93
255,275,0.93
255,289,0.91
255,298,0.91
255,302,0.94
255,304,0.96
256,130,0.91
256,155,0.9
256,203,0.92
256,270,0.93
256,275,0.9
256,286,0.9
256,306,0.9
270,22,0.91
270,32,0.92
270,33,0.93
270,39,0.91
270,56,0.94
270,130,0.9
270,155,0.94
270,190,0.92
270,195,0.93
270,203,0.93
270,252,0.9
270,275,0.93
270,289,0.92
270,304,0.93
270,306,0.91
270,313,0.92
3,5,0.93
3,7,0.97
3,8,0.9
3,16,0.95
3,17,0.92
3,26,0.91
3,28,0.97
3,53,0.9
3,54,0.92
3,59,0.93
3,62,0.96
3,66,0.96
3,72,0.93
3,75,0.96
3,76,0.97
3,78,0.97
3,93,0.92
3,94,0.91
3,99,0.92
3,101,0.96
3,114,0.93
3,119,0.93
3,121,0.95
3,122,0.91
3,138,0.9
3,139,0.9
3,140,0.94
3,141,0.92
3,148,0.95
3,150,0.96
3,151,0.92
3,152,0.91
3,157,0.92
3,158,0.97
3,167,0.94
3,170,0.96
3,171,0.95
3,172,0.94
3,175,0.94
3,176,0.91
3,180,0.92
3,182,0.9
3,183,0.9
3,188,0.93
3,196,0.97
3,202,0.95
3,204,0.96
3,205,0.94
3,206,0.92
3,211,0.92
3,213,0.93
3,220,0.97
3,228,0.91
3,229,0.92
3,235,0.92
3,241,0.93
3,242,0.97
3,243,0.94
3,246,0.92
3,247,0.97
3,253,0.94
3,259,0.95
3,261,0.93
3,271,0.97
3,272,0.97
3,273,0.92
3,280,0.91
3,281,0.97
3,282,0.92
3,290,0.91
3,292,0.91
3,293,0.92
3,298,0.93
3,299,0.96
3,316,0.94
5,4,0.96
5,7,0.95
5,8,0.9
5,15,0.94
5,16,0.9
5,17,0.95
5,28,0.93
5,29,0.95
5,30,0.9
5,50,0.9
5,55,0.96
5,58,0.91
5,59,0.95
5,62,0.91
5,66,0.95
5,72,0.92
5,75,0.9
5,85,0.94
5,94,0.93
5,99,0.97
5,101,0.95
5,114,0.91
5,118,0.95
5,119,0.95
5,120,0.92
5,121,0.97
5,122,0.93
5,124,0.9
5,127,0.93
5,140,0.93
5,141,0.95
5,142,0.94
5,145,0.93
5,148,0.95
5,156,0.91
5,158,0.94
5,170,0.95
5,172,0.95
5,174,0.92
5,175,0.93
5,184,0.91
5,189,0.95
5,196,0.92
5,201,0.92
5,204,0.96
5,211,0.93
5,229,0.96
5,230,0.95
5,235,0.91
5,236,0.94
5,238,0.94
5,239,0.94
5,241,0.97
5,242,0.91
5,246,0.94
5,261,0.95
5,271,0.91
5,273,0.97
5,276,0.91
5,280,0.94
5,281,0.96
5,290,0.98
5,292,0.96
5,293,0.96
5,299,0.91
5,316,0.9
5,317,0.92
7,4,0.92
7,8,0.92
7,16,0.93
7,17,0.94
7,28,0.97
7,54,0.9
7,55,0.91
7,59,0.92
7,62,0.96
7,66,0.93
7,72,0.91
7,75,0.96
7,76,0.94
7,78,0.94
7,94,0.92
7,99,0.93
7,101,0.96
7,114,0.92
7,119,0.96
7,121,0.97
7,122,0.93
7,127,0.9
7,139,0.91
7,140,0.96
7,141,0.94
7,148,0.95
7,150,0.96
7,151,0.9
7,157,0.91
7,158,0.98
7,167,0.93
7,170,0.97
7,171,0.94
7,172,0.96
7,175,0.96
7,180,0.91
7,183,0.92
7,189,0.9
7,196,0.96
7,202,0.93
7,204,0.99
7,205,0.93
7,211,0.96
7,220,0.9
7,229,0.95
7,230,0.91
7,235,0.94
7,236,0.9
7,241,0.96
7,242,0.96
7,243,0.93
7,246,0.93
7,247,0.93
7,259,0.91
7,261,0.95
7,271,0.94
7,272,0.94
7,273,0.96
7,280,0.93
7,281,0.97
7,282,0.9
7,290,0.95
7,292,0.94
7,293,0.93
7,298,0.91
7,299,0.94
7,316,0.95
8,17,0.96
8,28,0.91
8,94,0.93
8,96,0.94
8,101,0.93
8,118,0.9
8,119,0.94
8,121,0.92
8,122,0.93
8,124,0.93
8,125,0.9
8,127,0.92
8,141,0.95
8,145,0.91
8,158,0.91
8,172,0.96
8,174,0.91
8,175,0.96
8,189,0.93
8,204,0.92
8,211,0.94
8,229,0.95
8,236,0.91
8,241,0.9
8,261,0.96
8,273,0.94
8,280,0.94
8,281,0.94
8,290,0.93
8,292,0.95
8,293,0.91
8,295,0.94
16,26,0.95
16,28,0.95
16,53,0.95
16,54,0.96
16,59,0.95
16,62,0.96
16,66,0.97
16,72,0.93
16,75,0.95
16,76,0.94
16,78,0.95
16,85,0.9
16,93,0.92
16,101,0.93
16,114,0.95
16,121,0.9
16,138,0.93
16,139,0.95
16,140,0.93
16,148,0.95
16,150,0.95
16,151,0.96
16,157,0.97
16,158,0.94
16,170,0.9
16,171,0.92
16,180,0.93
16,183,0.93
16,188,0.94
16,196,0.95
16,202,0.9
16,204,0.93
16,205,0.96
16,206,0.93
16,220,0.91
16,228,0.97
16,235,0.9
16,241,0.9
16,242,0.96
16,243,0.97
16,247,0.97
16,271,0.95
16,272,0.96
16,281,0.92
16,282,0.97
16,299,0.98
16,316,0.97
17,4,0.91
17,28,0.96
17,55,0.92
17,62,0.92
17,75,0.93
17,94,0.94
17,96,0.95
17,101,0.98
17,118,0.96
17,119,0.97
17,121,0.94
17,122,0.93
17,124,0.97
17,125,0.92
17,127,0.96
17,140,0.92
17,141,1.0
17,142,0.9
17,145,0.94
17,150,0.92
17,158,0.94
17,170,0.91
17,172,0.97
17,174,0.94
17,175,0.99
17,189,0.95
17,201,0.91
17,204,0.95
17,211,0.97
17,229,0.99
17,235,0.93
17,236,0.94
17,238,0.9
17,239,0.93
17,241,0.95
17,242,0.93
17,246,0.9
17,261,1.0
17,273,0.97
17,280,0.97
17,281,0.98
17,290,0.97
17,292,0.99
17,293,0.95
17,295,0.92
26,28,0.92
26,53,1.0
26,54,0.92
26,62,0.96
26,75,0.95
26,76,0.92
26,78,0.94
26,93,0.97
26,114,0.93
26,138,0.92
26,140,0.9
26,150,0.96
26,151,1.0
26,157,0.99
26,158,0.92
26,171,0.92
26,180,0.91
26,182,0.94
26,188,0.96
26,196,0.94
26,205,0.99
26,206,0.99
26,213,0.93
26,228,0.98
26,242,0.95
26,243,0.99
26,247,0.97
26,271,0.93
26,272,0.97
26,282,1.0
26,299,0.95
26,316,0.94
28,53,0.92
28,54,0.9
28,59,0.92
28,62,0.99
28,66,0.94
28,75,0.99
28,76,0.92
28,78,0.93
28,94,0.92
28,101,0.99
28,114,0.95
28,119,0.96
28,121,0.94
28,122,0.91
28,138,0.9
28,139,0.91
28,140,0.97
28,141,0.96
28,148,0.92
28,150,0.99
28,151,0.93
28,157,0.94
28,158,0.99
28,167,0.9
28,170,0.93
28,171,0.92
28,172,0.95
28,175,0.98
28,182,0.92
28,188,0.9
28,196,0.96
28,204,0.98
28,205,0.97
28,206,0.9
28,211,0.93
28,220,0.92
28,228,0.92
28,229,0.94
28,235,0.95
28,241,0.94
28,242,1.0
28,243,0.95
28,247,0.95
28,261,0.96
28,271,0.93
28,272,0.96
28,273,0.94
28,280,0.92
28,281,0.98
28,282,0.94
28,290,0.93
28,292,0.93
28,293,0.9
28,299,0.94
28,316,0.95
53,54,0.91
53,62,0.96
53,75,0.95
53,76,0.9
53,78,0.94
53,93,0.96
53,114,0.92
53,138,0.91
53,140,0.9
53,150,0.96
53,151,0.99
53,157,0.99
53,158,0.91
53,171,0.91
53,180,0.91
53,182,0.94
53,188,0.96
53,196,0.93
53,205,0.99
53,206,0.98
53,213,0.91
53,228,0.98
53,242,0.95
53,243,0.99
53,247,0.96
53,271,0.92
53,272,0.97
53,282,1.0
53,299,0.94
53,316,0.93
54,59,0.95
54,62,0.92
54,66,0.95
54,72,0.93
54,75,0.9
54,76,0.92
54,78,0.91
54,85,0.91
54,93,0.91
54,114,0.94
54,138,0.9
54,139,0.94
54,140,0.91
54,148,0.94
54,150,0.91
54,151,0.93
54,157,0.94
54,158,0.9
54,183,0.92
54,188,0.9
54,196,0.93
54,205,0.91
54,206,0.91
54,220,0.91
54,228,0.92
54,235,0.9
54,242,0.92
54,243,0.92
54,247,0.94
54,271,0.91
54,272,0.94
54,281,0.9
54,282,0.93
54,299,0.97
54,316,0.94
59,4,0.92
59,50,0.9
59,55,0.95
59,62,0.93
59,66,0.99
59,72,0.96
59,75,0.9
59,76,0.93
59,78,0.9
59,79,0.93
59,85,0.98
59,99,0.94
59,101,0.93
59,113,0.94
59,114,0.97
59,119,0.94
59,120,0.92
59,121,0.94
59,122,0.93
59,138,0.9
59,139,0.93
59,140,0.95
59,142,0.9
59,148,0.98
59,150,0.9
59,158,0.94
59,170,0.92
59,183,0.93
59,184,0.95
59,196,0.94
59,204,0.92
59,220,0.91
59,228,0.9
59,230,0.9
59,235,0.93
59,241,0.93
59,242,0.93
59,246,0.92
59,247,0.95
59,259,0.91
59,271,0.92
59,272,0.91
59,281,0.94
59,282,0.9
59,290,0.92
59,293,0.91
59,299,0.97
59,316,0.94
59,317,0.91
62,66,0.94
62,75,1.0
62,76,0.93
62,78,0.94
62,93,0.91
62,94,0.9
62,101,0.98
62,114,0.96
62,119,0.94
62,121,0.92
62,138,0.92
62,139,0.93
62,140,0.96
62,141,0.92
62,148,0.93
62,150,1.0
62,151,0.97
62,157,0.97
62,158,0.98
62,170,0.91
62,171,0.92
62,172,0.92
62,175,0.95
62,180,0.9
62,182,0.93
62,188,0.93
62,196,0.97
62,204,0.96
62,205,0.99
62,206,0.94
62,211,0.9
62,213,0.9
62,220,0.92
62,228,0.95
62,229,0.9
62,235,0.95
62,241,0.92
62,242,1.0
62,243,0.97
62,247,0.97
62,261,0.93
62,271,0.95
62,272,0.98
62,273,0.91
62,281,0.96
62,282,0.97
62,299,0.96
62,316,0.97
66,4,0.91
66,55,0.93
66,58,0.93
66,72,0.96
66,75,0.92
66,76,0.94
66,78,0.93
66,85,0.95
66,99,0.94
66,101,0.94
66,113,0.91
66,114,0.96
66,119,0.93
66,120,0.91
66,121,0.94
66,122,0.92
66,138,0.9
66,139,0.93
66,140,0.94
66,141,0.9
66,148,0.97
66,150,0.92
66,151,0.9
66,157,0.91
66,158,0.95
66,170,0.92
66,172,0.9
66,180,0.9
66,183,0.92
66,184,0.93
66,188,0.9
66,196,0.95
66,202,0.9
66,204,0.94
66,205,0.91
66,207,0.9
66,220,0.93
66,228,0.93
66,230,0.91
66,235,0.92
66,241,0.94
66,242,0.95
66,243,0.91
66,246,0.92
66,247,0.97
66,259,0.92
66,261,0.9
66,271,0.94
66,272,0.93
66,273,0.91
66,281,0.95
66,282,0.92
