source,target,weight
66,290,0.92
66,293,0.91
66,299,0.97
66,316,0.94
66,317,0.9
72,35,0.91
72,50,0.91
72,55,0.9
72,76,0.96
72,78,0.93
72,85,0.93
72,99,0.95
72,113,0.9
72,114,0.91
72,120,0.91
72,121,0.94
72,133,0.92
72,138,0.91
72,140,0.9
72,146,0.91
72,148,0.97
72,158,0.91
72,170,0.94
72,176,0.91
72,180,0.93
72,183,0.95
72,188,0.91
72,196,0.94
72,202,0.94
72,204,0.9
72,207,0.95
72,220,0.91
72,230,0.9
72,246,0.91
72,247,0.94
72,259,0.93
72,271,0.95
72,272,0.91
72,298,0.92
72,299,0.96
72,316,0.91
72,317,0.94
75,76,0.92
75,78,0.94
75,93,0.91
75,94,0.91
75,101,0.98
75,114,0.94
75,119,0.94
75,121,0.92
75,138,0.91
75,139,0.91
75,140,0.95
75,141,0.93
75,148,0.92
75,150,1.0
75,151,0.96
75,157,0.96
75,158,0.98
75,170,0.91
75,171,0.92
75,172,0.92
75,175,0.96
75,182,0.93
75,188,0.92
75,196,0.96
75,204,0.96
75,205,0.98
75,206,0.93
75,211,0.92
75,220,0.91
75,228,0.93
75,229,0.91
75,235,0.94
75,241,0.91
75,242,1.0
75,243,0.97
75,247,0.95
75,261,0.93
75,271,0.94
75,272,0.97
75,273,0.91
75,281,0.96
75,282,0.96
75,292,0.9
75,299,0.94
75,316,0.96
76,77,0.91
76,78,0.98
76,90,0.9
76,93,0.94
76,99,0.92
76,101,0.9
76,114,0.92
76,121,0.93
76,138,0.92
76,140,0.92
76,148,0.95
76,150,0.93
76,151,0.92
76,155,0.9
76,157,0.92
76,158,0.94
76,167,0.93
76,170,0.95
76,171,0.95
76,176,0.9
76,180,0.96
76,183,0.94
76,188,0.96
76,196,0.97
76,202,0.96
76,204,0.93
76,205,0.92
76,206,0.93
76,207,0.93
76,212,0.91
76,213,0.94
76,220,0.94
76,228,0.9
76,242,0.94
76,243,0.94
76,244,0.91
76,247,0.97
76,253,0.93
76,259,0.94
76,271,0.98
76,272,0.96
76,281,0.92
76,282,0.92
76,298,0.96
76,299,0.96
76,302,0.9
76,316,0.93
76,317,0.9
78,39,0.91
78,77,0.9
78,93,0.96
78,101,0.9
78,114,0.9
78,121,0.91
78,138,0.92
78,140,0.91
78,148,0.93
78,150,0.95
78,151,0.95
78,155,0.9
78,157,0.95
78,158,0.94
78,167,0.91
78,170,0.94
78,171,0.96
78,180,0.98
78,182,0.92
78,183,0.93
78,188,0.99
78,195,0.9
78,196,0.97
78,202,0.97
78,204,0.93
78,205,0.95
78,206,0.95
78,207,0.91
78,212,0.93
78,213,0.94
78,220,0.93
78,228,0.92
78,242,0.94
78,243,0.97
78,244,0.94
78,247,0.97
78,253,0.9
78,259,0.91
78,271,0.99
78,272,0.97
78,275,0.9
78,281,0.9
78,282,0.94
78,298,0.98
78,299,0.96
78,316,0.94
93,39,0.9
93,150,0.92
93,151,0.95
93,155,0.9
93,157,0.95
93,171,0.94
93,180,0.93
93,182,0.91
93,188,0.97
93,196,0.92
93,202,0.91
93,205,0.95
93,206,0.99
93,212,0.93
93,213,0.98
93,220,0.93
93,228,0.94
93,242,0.91
93,243,0.97
93,247,0.95
93,271,0.94
93,272,0.97
93,282,0.95
93,298,0.92
93,299,0.93
93,304,0.91
93,316,0.9
94,96,0.91
94,101,0.93
94,119,0.95
94,121,0.93
94,122,0.94
94,124,0.91
94,127,0.9
94,141,0.95
94,148,0.9
94,158,0.92
94,172,0.93
94,175,0.95
94,189,0.93
94,196,0.91
94,204,0.92
94,211,0.93
94,229,0.94
94,235,0.91
94,236,0.93
94,242,0.9
94,261,0.94
94,273,0.96
94,276,0.92
94,280,0.91
94,281,0.94
94,290,0.92
94,292,0.94
94,293,0.93
94,295,0.91
99,4,0.96
99,15,0.95
99,29,0.93
99,30,0.93
99,35,0.91
99,50,0.94
99,55,0.94
99,82,0.91
99,85,0.93
99,113,0.9
99,118,0.9
99,119,0.91
99,120,0.95
99,121,0.97
99,122,0.92
99,127,0.91
99,133,0.94
99,140,0.91
99,142,0.91
99,145,0.91
99,148,0.95
99,158,0.92
99,170,0.96
99,172,0.93
99,176,0.93
99,183,0.9
99,185,0.93
99,189,0.93
99,196,0.91
99,202,0.9
99,204,0.93
99,223,0.91
99,229,0.91
99,230,0.93
99,238,0.91
99,239,0.91
99,241,0.93
99,246,0.96
99,259,0.91
99,261,0.9
99,271,0.91
99,273,0.94
99,276,0.93
99,280,0.92
99,281,0.92
99,290,0.95
99,292,0.92
99,293,0.93
99,299,0.91
99,317,0.95
101,55,0.9
101,96,0.91
101,114,0.95
101,118,0.93
101,119,0.97
101,121,0.94
101,122,0.92
101,124,0.91
101,127,0.91
101,139,0.9
101,140,0.96
101,141,0.98
101,148,0.92
101,150,0.97
101,151,0.9
101,157,0.9
101,158,0.97
101,170,0.93
101,172,0.96
101,175,0.99
101,189,0.9
101,196,0.94
101,204,0.97
101,205,0.94
101,211,0.94
101,220,0.91
101,229,0.96
101,235,0.95
101,236,0.91
101,241,0.95
101,242,0.98
101,243,0.92
101,247,0.93
101,261,0.98
101,271,0.92
101,272,0.94
101,273,0.95
101,280,0.94
101,281,0.99
101,282,0.91
101,290,0.95
101,292,0.95
101,293,0.93
101,299,0.92
101,316,0.94
114,55,0.9
114,85,0.94
114,113,0.94
114,119,0.93
114,121,0.91
114,140,0.97
114,148,0.94
114,150,0.94
114,151,0.94
114,157,0.93
114,158,0.96
114,175,0.9
114,183,0.92
114,184,0.92
114,196,0.95
114,204,0.93
114,205,0.94
114,206,0.9
114,220,0.91
114,228,0.94
114,235,0.95
114,241,0.92
114,242,0.97
114,243,0.93
114,247,0.96
114,261,0.9
114,271,0.91
114,272,0.94
114,281,0.94
114,282,0.95
114,290,0.9
114,299,0.97
114,316,0.96
119,4,0.93
119,55,0.96
119,85,0.91
119,96,0.92
119,113,0.9
119,118,0.93
119,120,0.9
119,121,0.96
119,122,0.96
119,124,0.94
119,127,0.95
119,139,0.91
119,140,0.94
119,141,0.98
119,142,0.94
119,145,0.91
119,148,0.94
119,150,0.93
119,158,0.96
119,170,0.92
119,172,0.96
119,174,0.93
119,175,0.97
119,189,0.93
119,196,0.94
119,201,0.93
119,204,0.96
119,211,0.96
119,229,0.97
119,235,0.98
119,236,0.96
119,239,0.91
119,241,0.95
119,242,0.94
119,246,0.92
119,261,0.98
119,273,0.96
119,276,0.9
119,280,0.94
119,281,0.99
119,290,0.96
119,292,0.96
119,293,0.96
119,295,0.91
119,299,0.91
119,316,0.94
121,4,0.95
121,15,0.91
121,29,0.9
121,55,0.95
121,85,0.93
121,113,0.9
121,118,0.92
121,120,0.92
121,122,0.95
121,127,0.93
121,140,0.94
121,141,0.94
121,142,0.93
121,145,0.91
121,148,0.97
121,150,0.91
121,158,0.95
121,167,0.9
121,170,0.97
121,172,0.96
121,174,0.9
121,175,0.94
121,176,0.9
121,183,0.91
121,185,0.9
121,189,0.94
121,196,0.95
121,201,0.9
121,202,0.91
121,204,0.97
121,211,0.95
121,229,0.96
121,230,0.92
121,235,0.93
121,236,0.92
121,238,0.9
121,239,0.91
121,241,0.96
121,242,0.93
121,246,0.95
121,247,0.9
121,259,0.9
121,261,0.95
121,271,0.93
121,273,0.97
121,276,0.92
121,280,0.94
121,281,0.97
121,290,0.97
121,292,0.95
121,293,0.96
121,295,0.91
121,299,0.93
121,316,0.92
121,317,0.93
122,4,0.94
122,55,0.95
122,85,0.9
122,118,0.92
122,120,0.92
122,124,0.9
122,127,0.93
122,139,0.91
122,140,0.9
122,141,0.94
122,142,0.91
122,148,0.93
122,158,0.92
122,162,0.9
122,170,0.9
122,172,0.93
122,174,0.91
122,175,0.93
122,189,0.92
122,196,0.9
122,201,0.93
122,204,0.92
122,211,0.92
122,229,0.94
122,235,0.93
122,236,0.94
122,239,0.91
122,241,0.92
122,246,0.9
122,261,0.94
122,273,0.94
122,276,0.94
122,280,0.91
122,281,0.96
122,290,0.94
122,292,0.93
122,293,0.96
122,295,0.91
122,296,0.93
122,316,0.9
138,77,0.93
138,139,0.9
138,140,0.9
138,148,0.92
138,150,0.91
138,151,0.92
138,157,0.94
138,158,0.91
138,180,0.91
138,188,0.94
138,196,0.94
138,205,0.93
138,206,0.9
138,228,0.9
138,242,0.91
138,243,0.92
138,247,0.93
138,271,0.94
138,272,0.93
138,282,0.92
138,299,0.93
138,316,0.91
138,317,0.9
139,140,0.9
139,148,0.93
139,150,0.91
139,157,0.92
139,158,0.91
139,196,0.91
139,205,0.9
139,235,0.9
139,236,0.9
139,242,0.92
139,247,0.91
139,272,0.9
139,281,0.91
139,282,0.9
139,296,0.95
139,299,0.93
139,316,0.91
140,4,0.9
140,23,0.9
140,55,0.91
140,85,0.92
140,113,0.93
140,141,0.93
140,148,0.94
140,150,0.95
140,151,0.92
140,157,0.91
140,158,0.98
140,167,0.9
140,170,0.93
140,171,0.91
140,172,0.93
140,175,0.94
140,183,0.9
140,196,0.96
140,204,0.97
140,205,0.94
140,211,0.9
140,220,0.9
140,228,0.91
140,229,0.91
140,235,0.95
140,241,0.93
140,242,0.97
140,243,0.92
140,246,0.92
140,247,0.94
140,261,0.93
140,271,0.92
140,272,0.93
140,273,0.93
140,280,0.91
140,281,0.96
140,282,0.93
140,290,0.94
140,292,0.92
140,293,0.9
140,299,0.95
140,316,0.95
141,4,0.91
141,55,0.93
141,96,0.95
141,118,0.96
141,124,0.98
141,125,0.91
141,127,0.96
141,142,0.91
141,145,0.94
141,150,0.91
141,158,0.94
141,170,0.91
141,172,0.97
141,174,0.95
141,175,0.99
141,189,0.95
141,196,0.9
141,201,0.92
141,204,0.95
141,211,0.97
141,229,0.99
141,235,0.94
141,236,0.95
141,238,0.9
141,239,0.93
141,241,0.95
141,242,0.93
141,246,0.91
141,261,1.0
141,273,0.97
141,280,0.97
141,281,0.98
141,290,0.97
141,292,0.99
141,293,0.96
141,295,0.92
148,4,0.93
148,55,0.94
148,79,0.91
148,85,0.94
148,113,0.91
148,120,0.92
148,142,0.9
148,150,0.92
148,151,0.9
148,157,0.9
148,158,0.95
148,170,0.95
148,172,0.9
148,180,0.92
148,183,0.96
148,188,0.9
148,196,0.97
148,202,0.93
148,204,0.95
148,205,0.9
148,211,0.9
148,229,0.9
148,230,0.91
148,235,0.94
148,236,0.9
148,241,0.93
148,242,0.93
148,243,0.9
148,246,0.92
148,247,0.94
148,259,0.9
148,261,0.9
148,271,0.95
148,272,0.92
148,273,0.92
148,276,0.91
148,281,0.94
148,282,0.9
148,290,0.92
148,293,0.93
148,298,0.9
148,299,0.97
148,316,0.96
148,317,0.94
150,151,0.97
150,157,0.97
150,158,0.97
150,170,0.91
150,171,0.92
150,172,0.91
150,175,0.95
150,180,0.9
150,182,0.94
150,188,0.93
150,196,0.96
150,204,0.96
150,205,0.99
150,206,0.94
150,211,0.9
150,213,0.9
150,220,0.91
150,228,0.94
150,235,0.94
150,241,0.9
150,242,1.0
150,243,0.98
150,247,0.96
150,261,0.92
150,271,0.94
150,272,0.98
150,273,0.9
150,281,0.95
150,282,0.97
150,299,0.95
150,316,0.96
151,157,0.99
151,158,0.93
151,171,0.92
151,180,0.92
151,182,0.93
151,183,0.91
151,188,0.96
151,196,0.95
151,204,0.9
151,205,0.99
151,206,0.97
151,213,0.91
151,228,0.97
151,242,0.96
151,243,0.99
151,247,0.97
151,271,0.94
151,272,0.97
151,282,1.0
151,299,0.96
151,316,0.96
152,23,0.95
152,82,0.91
152,167,0.98
152,171,0.95
152,176,0.9
152,220,0.91
152,246,0.9
152,253,0.94
152,259,0.92
152,285,0.92
157,158,0.93
157,171,0.92
157,180,0.92
157,182,0.93
157,188,0.96
157,196,0.94
157,204,0.9
157,205,0.99
157,206,0.97
157,213,0.91
157,228,0.97
157,242,0.96
157,243,0.99
157,247,0.96
157,271,0.94
157,272,0.97
157,282,0.99
157,299,0.96
157,316,0.95
158,4,0.9
158,55,0.9
158,113,0.9
158,167,0.92
158,170,0.95
158,171,0.93
158,172,0.96
158,175,0.96
158,180,0.9
158,182,0.91
158,183,0.9
158,188,0.91
158,196,0.98
158,204,0.98
158,205,0.96
158,206,0.9
158,211,0.93
158,220,0.91
158,228,0.91
158,229,0.93
158,235,0.95
158,241,0.94
158,242,0.98
158,243,0.94
158,246,0.91
158,247,0.96
158,259,0.91
158,261,0.95
158,271,0.94
158,272,0.96
158,273,0.94
158,280,0.92
158,281,0.97
158,282,0.94
158,290,0.93
158,292,0.93
158,293,0.9
158,299,0.96
158,316,0.96
167,23,0.94
167,35,0.9
167,82,0.92
167,90,0.91
167,120,0.92
167,133,0.91
167,170,0.93
167,171,0.96
167,172,0.91
167,176,0.93
167,196,0.92
167,202,0.9
167,204,0.92
167,213,0.9
167,220,0.93
167,223,0.9
167,246,0.92
167,253,0.96
167,259,0.94
167,272,0.92
167,280,0.9
167,281,0.91
167,285,0.95
167,299,0.9
167,302,0.91
170,4,0.93
170,55,0.9
170,120,0.91
170,127,0.9
170,133,0.91
170,171,0.93
170,172,0.95
170,175,0.92
170,176,0.91
170,180,0.93
170,183,0.92
170,185,0.91
170,188,0.9
170,189,0.9
170,196,0.95
170,202,0.95
170,204,0.97
170,211,0.93
170,220,0.9
170,229,0.93
170,230,0.91
170,241,0.94
170,242,0.92
170,246,0.94
170,247,0.91
170,253,0.91
170,259,0.92
170,261,0.92
170,271,0.96
170,272,0.91
170,273,0.95
170,276,0.9
170,280,0.92
170,281,0.94
170,290,0.94
170,292,0.92
170,293,0.93
170,298,0.92
170,299,0.93
170,316,0.91
170,317,0.93
171,23,0.9
171,131,0.9
171,180,0.94
171,182,0.92
171,188,0.94
